gene_id,SRR7819740,SRR7819751,SRR7819759,SRR7819764,SRR7819779,SRR7819802,SRR7819811,SRR7819835,SRR7819862,SRR7819866,SRR7819851,SRR7819863,SRR7819867,SRR7819869,SRR7819870,SRR7819871,SRR7819875,SRR7819885,SRR7819891,SRR7819893
HACD1,47,32,61,79,29,55,56,26,126,46,64,81,32,130,73,75,127,151,75,104
HAGHL,584,369,281,416,587,306,498,551,639,470,704,542,636,554,364,433,344,452,375,426
HAMP,0,0,0,11,0,0,0,0,0,5,5,0,0,0,2,0,0,0,0,0
HAVCR1,196,75,191,146,187,634,213,217,430,150,59,584,53,667,1266,336,711,1110,99,445
HAVCR2,37,19,38,40,41,55,33,36,48,29,0,53,22,50,63,34,51,43,12,42
HCAR1,16,130,12,11,20,1330,6,1726,0,65,0,0,8,3,13,4,7,4,6,43
HCRT,5,20,7,12,12,7,23,0,9,12,7,6,10,0,1,3,0,0,2,4
HCRTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEY1,122,138,86,142,135,136,233,69,131,120,150,204,183,258,113,192,170,400,71,92
HGF,242,61,155,517,50,358,338,159,288,74,96,289,41,102,149,527,119,236,110,177
HGFAC,209,270,71,221,322,270,375,273,121,44,490,251,307,156,76,187,102,439,202,316
HGS,3334,3070,1804,2690,3706,2449,4417,3681,3031,1224,3930,3628,3101,2456,2517,3114,2161,3716,2189,3716
HIF1A,6837,2697,6676,5642,4237,9618,7424,4329,10645,2740,3632,9741,4289,23086,12171,14112,21670,18818,6317,8384
HIPK2,963,566,1627,1352,1112,5489,317,4296,366,207,260,364,323,2416,1244,862,2237,1003,396,1206
HLA-DRB1,43484,4122,10075,18046,8322,12772,58768,28977,49956,38738,30130,59666,70839,28990,56724,43185,15864,38989,7193,59764
HMGA1,5607,8606,4127,3526,7912,589,960,1253,4599,3251,1317,2422,3129,1624,3037,4465,1776,1880,5922,4981
HMGB1,21138,15572,10408,11368,12798,11199,8546,11693,36340,14696,11479,24073,15966,21547,17884,17367,13284,17827,11076,20761
HMGN2,17230,8142,6336,9022,9490,4854,4853,7323,24924,16550,12061,15332,16470,11375,12271,10499,5818,7952,11398,11551
HMOX1,886,862,592,1007,1092,2422,6653,3423,3405,670,3271,6567,483,1241,627,1003,841,1066,1164,2523
HNRNPK,23988,19423,16933,16771,21173,19593,13355,17173,36370,15714,17838,28414,16447,31422,30890,26393,28129,34938,17921,27166
HOTAIR,0,5,0,0,8,24,0,0,0,9,66,0,0,0,0,5,0,0,0,0
HOXA10,12,39,9,132,23,198,57,168,12,79,5,0,5,7,11,29,0,24,7,26
HPGD,13,87,140,62,46,158,19,59,161,163,19,27,9,45,162,94,8,44,8,283
HPGDS,17,0,21,18,10,154,15,0,26,45,0,26,29,46,50,0,9,0,0,46
HPRT1,1291,981,823,820,1039,1750,1447,1788,5074,1433,2801,3101,1434,3191,1675,1523,2700,2870,1064,1878
HRAS,669,2429,641,850,2040,972,1483,2134,1631,1329,1395,1040,1012,879,703,949,596,687,724,1022
HRH2,9,262,21,30,38,2279,190,1376,52,103,19,58,13,7,14,67,59,44,7,78
HSD11B1,333,573,454,282,754,1124,315,469,889,421,578,346,516,2411,762,853,651,1221,368,1106
HSD17B14,607,8469,451,290,6508,144,600,509,1016,1028,179,604,677,570,415,802,110,373,200,973
HSD3B2,0,15,24,0,114,29,0,0,0,68,0,0,0,0,0,2,0,0,0,68
HSDL2,8657,3917,7615,5727,5482,6992,3301,10643,15841,5541,2988,5549,4252,9296,5542,4980,6537,6111,8429,7003
HSF4,421,261,219,277,357,265,1046,331,452,133,665,573,548,333,256,354,117,319,551,293
HSP70,6063,7451,4568,3446,5740,2539,5425,3246,9926,3059,16227,5809,4584,8658,11181,8551,6505,9373,3414,12112
HSP90B1,37519,24138,21757,30179,22707,24670,42884,17743,68941,10317,72015,54573,41129,67173,39021,30240,47415,57902,36236,46234
HSPA4,4603,4529,3346,3431,5321,4600,3757,4051,6711,1739,5131,5595,4776,7765,4887,4348,6451,7125,2849,5128
HSPB1,4485,31496,7899,6969,17606,17655,20520,21713,13190,16514,17126,16782,6645,13314,12325,10550,13947,15506,3634,21407
HSPB8,297,2280,1153,458,1476,6388,3949,6405,2048,2209,1753,665,233,1373,1385,1091,1471,2439,65,3176
HTATSF1,3814,2885,2606,3208,2829,3595,2792,4653,6221,1991,3754,5313,3691,5336,5008,4042,3475,5457,3285,5164
HTR1A,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0
HTR1B,14,102,397,92,85,445,546,71,158,77,42,639,0,158,75,95,941,520,0,217
HTR1D,9,11,8,9,25,5,9,0,32,4,13,13,2,12,59,10,18,6,2,9
HTR2A,0,0,5,3,0,34,0,12,13,10,7,58,0,0,0,68,15,20,0,0
HTR2B,7,14,85,32,11,341,5,40,250,71,19,95,10,12,245,280,31,129,0,67
HTR2C,0,0,2,3,3,2,7,0,9,0,0,3,0,0,0,5,0,3,0,2
HTR3A,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
HTRA2,1925,988,982,1439,1341,979,1543,1155,1931,1083,1362,1781,2081,1488,1510,2113,849,1997,2261,2133
IAPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAM1,4251,2705,2303,4827,2058,6595,14544,3175,7815,3968,3699,4348,6307,2084,9668,20513,5586,6993,979,5013
ICOS,122,91,41,41,36,737,0,9,92,30,39,75,36,100,47,152,67,28,7,94
ID3,306,1654,492,1190,962,1486,5876,2384,1391,1115,3035,1643,198,874,938,1649,499,2251,325,554
IDE,1124,673,3528,942,1436,1720,489,915,1102,831,350,1324,315,2315,1279,1053,3107,2782,624,2727
IDS,2441,1458,2069,2012,2100,6331,3346,3628,2749,1564,990,3268,940,4784,2792,2979,4581,4861,893,3157
IDUA,1691,1298,1134,1584,2109,1738,2218,1905,1941,567,1000,1261,970,1104,827,1254,476,1171,1835,1784
IFGGB2,482,83,161,281,67,200,102,96,925,196,184,226,880,373,5467,456,274,191,82,391
IFGGC1,537,86,116,180,92,315,91,206,881,276,320,217,1211,317,9610,544,343,296,50,342
IFNA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
IFNA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
IFNB1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,7,0,0,0
IFNG,226,0,20,38,29,0,0,0,286,8,33,15,106,20,131,48,12,4,29,76
IFNK,4,3,3,5,4,4,2,0,0,0,0,0,6,3,2,2,0,0,8,15
IGF1,57,26,123,592,28,504,422,75,120,152,42,128,31,105,27,166,10,84,16,115
