"gene_id","SRR7819740","SRR7819751","SRR7819759","SRR7819764","SRR7819779","SRR7819802","SRR7819811","SRR7819835","SRR7819851","SRR7819862","SRR7819863","SRR7819866","SRR7819867","SRR7819869","SRR7819870","SRR7819871","SRR7819875","SRR7819885","SRR7819891","SRR7819893"
"SLC46A2",908,291,871,485,694,131,631,206,207,1152,326,1334,719,206,642,898,514,246,319,1550
"LOC481674",507,115,222,389,490,41,45,28,107,418,142,94,441,64,160,305,29,160,791,387
"MIR455",0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
"TNC",1165,2173,515,1997,1597,603,2109,137,43135,2993,16038,670,3678,6955,1459,349,5755,6994,947,2825
"TLR4",1097,467,1304,1261,799,1539,1704,1199,600,2222,1245,1210,845,1181,1757,1883,888,1009,1078,3172
"STOM",1178,6348,1454,2275,1238,27050,4857,35750,2194,3318,3179,3343,3215,4672,3519,3834,2082,3155,822,3767
"RPP21",373,513,199,331,570,191,634,360,1054,579,634,518,614,556,308,538,345,491,305,409
"DLA88",7074,3061,4173,4045,3775,9393,14656,9852,5904,23159,13590,5930,5166,5622,12448,10549,3532,2808,2366,10664
"DLA-12",10080,4855,4145,5905,3503,8260,24794,12476,13473,24602,18175,8840,12784,9251,16354,17615,7794,6334,3050,16955
"DLA-64",7247,3083,2509,3843,2362,5065,12802,6495,8424,24266,12267,7488,14459,4844,6648,9283,4315,4890,2309,10289
"DDX39B",5089,3889,2407,3808,4299,1896,3381,1941,5067,4644,4524,2268,4608,3098,2793,4655,2369,4617,3673,4501
"ATP6V1G2",11,9,10,16,12,4,4,7,7,12,6,15,9,28,24,5,10,7,4,20
"NFKBIL1",621,522,394,588,582,490,690,1061,550,796,492,541,653,763,638,639,501,487,621,691
"LTA",10,1,3,6,1,2,0,0,6,6,1,4,5,4,14,22,7,1,0,2
"TNF",48,6,5,5,17,19,15,24,11,38,13,11,21,6,92,78,1,17,8,16
"LTB",130,11,24,60,51,12,39,19,164,86,61,108,101,12,70,132,9,31,21,43
"LY6G5C",13,9,6,5,12,14,31,0,27,5,5,6,27,1,14,52,3,18,7,4
"CLIC1",1802,2803,1573,1833,2653,2522,3896,3656,3955,5718,6505,3366,2917,3088,3654,2693,3637,3671,1568,5127
"HSP70",629,656,361,319,449,198,498,279,1602,1039,471,369,477,615,646,821,506,715,250,815
"CYP21A2",521,1450,183,867,487,1438,12912,3127,272,2519,325,731,350,175,571,1713,131,267,100,2894
"AGER",271,121,71,160,226,52,84,12,51,105,97,17,145,51,88,188,46,208,120,164
"DLA-DRA",22222,1818,4463,5633,4115,8198,24735,13072,9234,28629,27140,20671,12558,12773,25531,20507,10251,21526,2817,22420
"HLA-DRB1",23368,2256,5623,9653,4598,7443,31282,16445,16957,29825,33554,21934,38449,15069,28964,24789,9308,23131,4160,34662
"DLA-DQB1",4882,355,1039,1656,869,1178,4338,3800,4303,5558,7873,5413,9934,3180,5007,4492,1719,5223,871,9646
"DLA-DOB",97,16,31,51,46,34,80,27,140,109,161,49,39,26,76,76,27,47,8,95
"TAP2",2168,774,851,1266,1011,994,1349,591,1469,2339,1789,867,2242,1553,2185,2110,1094,1803,1404,2054
"PSMB8",1733,349,528,1094,575,623,1132,776,772,2239,1108,1710,2663,616,2002,1708,547,427,781,1505
"TAP1",2885,777,883,1483,1109,1236,2835,1087,2051,3345,2120,1326,4240,1577,3349,3190,1175,1479,1038,2298
"PSMB9",863,215,277,428,264,342,1160,706,782,1445,796,1373,1797,568,1753,1113,366,414,214,840
"DLA-DMB",1883,204,463,764,401,1008,2864,1960,1365,2781,3416,1998,2478,1714,3392,1986,881,2069,305,2061
"DLA-DMA",1024,145,252,430,253,655,2009,1601,1061,1217,2134,1607,1786,782,1509,1459,519,1181,296,1295
"BRD2",7035,5422,4525,5365,6170,5635,5139,4968,6085,9345,8021,3543,6925,9989,7949,10314,6213,10686,6352,9157
"DLA-DOA",106,6,18,46,12,17,65,23,152,164,100,73,84,15,50,64,15,49,16,70
"SLC39A7",3267,2244,2486,3068,2882,2252,4039,2112,7303,6465,6834,2379,4023,5390,2702,4485,2752,5898,3125,4712
"MIR219-1",6,1,1,3,4,0,7,1,3,13,1,1,5,0,1,3,1,4,1,12
"RING1",2678,1244,740,1369,1644,900,2025,1023,2344,2360,2104,954,2624,1307,1347,2022,699,1904,1432,1985
"VPS52",1866,1244,905,1301,1551,817,1331,872,1618,1991,1914,627,1665,1785,1268,2120,1116,2381,1060,1879
"RPS18",27634,31026,22455,30747,34221,11710,21705,29061,26998,62251,28786,49652,40735,32818,23541,33588,22531,23399,42031,33290
"B3GALT4",146,60,84,132,102,85,252,158,166,289,247,119,228,242,165,180,91,197,120,173
"PFDN6",1076,1369,652,1114,1418,684,1005,1240,1484,2249,1394,1637,1804,1430,1242,1351,849,1023,1214,1656
"TAPBP",2808,2181,1924,2620,2491,2740,5765,3296,4784,6077,4879,1915,4388,3573,5145,4257,2636,3370,1877,6457
"BAK1",595,177,285,375,373,177,375,141,610,614,748,352,421,697,641,540,624,742,406,435
"MLN",12,0,1,2,5,0,0,0,0,6,0,1,0,0,2,12,0,0,5,4
"MIR8832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
